id,address,at_street,description,latitude,longitude,municipality,name,on_street
"node-nqncy-senterramp-bus",,,"North Quincy - Bottom of ramp between busway and Red Line station",,,"Quincy","North Quincy",
"5081",,"Fellsway East",,"42.430243","-71.082798","Malden","Savin St @ Fellsway E","Savin Street"
"1406",,"Norfolk Street",,"42.373088","-71.096361","Cambridge","Cambridge St @ Norfolk St","Cambridge Street"
"3673",,"Academy Avenue",,"42.222384","-70.939056","Weymouth","Middle St @ Academy Ave","Middle Street"
"6637",,"Summer Street",,"42.424888","-70.916003","Nahant","Nahant Rd @ Summer St","Nahant Road"
"8595",,"Marrett Road",,"42.436391","-71.212514","Lexington","Massachusetts Ave opp Marrett Rd","Massachusetts Avenue"
"14836",,"Green Street",,"42.506258","-70.851977","Marblehead","Elm St @ Mugford St","Elm Street"
"1850",,"Ravenna Road",,"42.293107","-71.143325","Boston","Weld St @ Ravenna Rd","Weld Street"
"3199",,"Alleyne Street",,"42.255884","-71.008922","Quincy","Adams St opp Alleyne St","Adams Street"
"9068",,"Brentwood Street",,"42.436363","-71.027039","Malden","Salem St @ Brentwood St","Salem Street"
"node-shmnl-sh-fareunpaid",,,"Savin Hill - Unpaid side of Savin Hill Avenue fare gates",,,"Boston","Savin Hill",
"562",,"Bowdoin Street",,"42.303532","-71.071545","Boston","Geneva Ave @ Bowdoin St","Geneva Avenue"
"13820",,"Winter Court",,"42.201881","-70.946697","Weymouth","Washington St @ Winter Ct","Washington Street"
"4457",,"Flint Street",,"42.519091","-70.904073","Salem","Essex St @ Flint St","Essex Street"
"6818",,"Franklin Street",,"42.46998","-70.960174","Lynn","North Franklin St. @ Boston St.","North Franklin Street"
"2727",,"Fenwick Street",,"42.394013","-71.095872","Somerville","Broadway @ Fenwick St","Broadway"
"node-spmnl-obstairs-lobby",,,"Science Park - Bottom of outbound platform stairs",,,"Boston","Science Park",
"node-knncl-nbmain-farepaid",,,"Kendall/MIT - Paid side of fare gates",,,"Cambridge","Kendall/MIT",
"70240",,,"Prudential - Green Line - Park Street & North","42.34557","-71.081696","Boston","Prudential",
"5376",,"Phillips Street",,"42.424982","-71.063517","Malden","Eastern Ave @ Phillips Ct","Eastern Avenue"
"10016",,,,"42.499312","-71.162566","Woburn","TradeCenter 128",
"4455",,"Beckford Street",,"42.52062","-70.901543","Salem","Essex St @ Beckford St","Essex Street"
"node-940-entrance",,,"Courthouse - Top of elevator between Fan Pier Boulevard and lobby",,,"Boston","Courthouse",
"45080",,"Fellsmere Road",,"42.430291","-71.08622","Malden","Savin St @ Fellsmere Rd","Savin Street"
"11809",,"Carlton Street",,"42.348846","-71.108581","Brookline","Mountfort St @ Carlton St","Mountfort Street"
"6111",,"Ocean Avenue",,"42.508133","-70.891351","Salem","Lafayette St @ Ocean Ave","Lafayette Street"
"24716",,,,"42.411567","-70.996415","Revere","VFW Pkwy opp Wonderland Market Place","Veterans Of Foreign Wars Parkway"
"111220",,,,"42.266442","-70.853888","Hull","Rockland Cir from Park to Rockland House Rd (FLAG)","Rockland Circle"
"5255",,"Church Street",,"42.288168","-71.145032","Boston","Centre St @ Church St","Centre Street"
"25969",,,,"42.443715","-71.072003","Melrose","Pleasant St @ Stone Pl","Pleasant Street"
"4574",,"Technology Drive",,"42.521622","-70.966488","Peabody","5 Centennial Dr","Centennial Drive"
